id,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,
122,603891,612878,847986,1103965,1300763,1238033,950022,1173718,1205661,1175453,916706,880458,1149016,1261525,833471,877430,797878,484618,981430,806247,540233,569282,
123,192087,193704,276341,371235,414572,378600,288029,358783,369190,358412,279750,268473,371721,386136,234567,256952,241417,165461,325940,272213,174706,183865,
124,167718,185068,254475,301601,334264,325445,254800,330200,285155,282101,232361,238909,311971,268389,178828,189025,175172,119295,265296,238347,160293,158725,
125,41465,37165,59087,79112,88906,83750,63490,80855,76481,71426,57130,55917,77600,77548,53713,55868,52352,32385,70689,60999,39984,42784,
126,74528,70696,105501,140454,153113,141206,112619,139911,139805,132130,105751,102385,137518,137406,87146,97773,91715,67331,132448,107967,69321,73830,
127,753,1090,1812,2272,4493,2600,3201,2991,3118,3541,2737,2644,3045,3663,2671,2278,2632,1057,1920,1507,521,660,
128,575,900,1446,2120,2685,1733,1592,2163,1903,1792,1513,1670,2088,2898,1921,2269,2449,570,1324,1237,405,628,
129,304,240,383,536,994,896,578,894,774,737,886,849,960,1126,695,454,834,136,436,416,331,313,
130,371,492,723,880,2133,2432,1341,1193,975,1067,792,781,833,1072,594,404,700,431,1474,1016,360,349,
131,1269,1397,1665,2707,4924,3741,3418,2772,2187,2965,1861,1987,2248,3527,2686,2292,2208,818,2245,1934,1269,1121,
132,773,1160,1742,2684,3494,1480,2100,2738,1948,2704,2388,2343,2446,2937,1332,961,2072,715,2027,1564,881,714,
133,5948,6125,7873,12963,16791,7750,13013,14633,15256,14329,11705,11171,15274,16706,9623,6013,10109,6084,13641,10537,5956,5453,
134,1194,1668,2456,4177,8563,3166,4230,4468,4053,4634,3473,3261,4399,5241,3706,4657,3588,1169,3561,2485,1418,1271,
137,2745,2930,3681,6448,8865,8050,5213,6838,6110,6961,6189,6301,6995,9677,5168,5108,4131,2210,3837,3517,1884,2929,
138,221803,219686,303973,376807,472711,443968,344869,425398,443374,440282,329125,320659,395896,465265,310361,329014,302729,173041,347859,287640,198803,213528,
139,24115,25699,38931,49593,63989,62735,44902,52114,56511,62345,46639,48546,52285,63463,40226,38044,33045,17476,42229,34222,18696,21975,
140,92965,91206,132997,175713,203420,187020,136893,174655,170730,166877,134569,131829,164908,188573,129249,133508,121099,76332,153810,128542,84319,88491,
141,65156,63747,67628,71298,78678,73649,56960,66237,68965,64791,55274,48231,59128,67321,46255,47113,43883,30028,71305,70707,65468,69627,
142,145006,131363,122835,123210,111061,110989,89381,105368,111693,99261,87316,75072,89359,106453,68582,71747,71185,31261,96058,117643,135985,150351,
143,379081,349976,339543,333313,317602,319608,261559,315344,324109,290899,268664,222905,303884,340886,218270,241608,242140,77875,255851,326101,356228,393403,
144,384343,396953,535702,706190,869241,829012,624131,770540,818685,811914,612274,618678,777450,904515,616823,618361,572011,293690,599177,477141,329992,368807,
145,15724,14354,20034,28303,31038,29547,23769,27127,29265,29291,24012,24477,25447,31101,20602,21765,20593,12859,26364,19945,11655,15315,
146,62602,68871,101447,136606,153789,139753,109857,133624,141200,127646,105708,99042,127322,126504,88696,98908,90193,54986,113808,92041,57000,64926,
147,4738,4379,7035,9524,10930,10664,8709,10402,9408,9074,7693,6703,8245,10213,6603,6745,6548,3593,7807,6034,4404,4548,
148,26115,25446,36107,47639,55338,49411,38867,46264,44135,43680,33049,31562,44675,54267,33117,32609,29547,22263,43714,36377,23511,26144,
149,28532,29824,41204,50898,58551,52862,42725,51293,47044,46527,38138,36371,44542,52702,32402,34104,30829,22692,48179,38030,24950,24589,
150,147301,154436,218658,283036,334130,317712,245777,317825,317675,312914,236009,230811,291616,301685,225877,230162,218880,114811,241289,193156,128464,138976,
151,40356,42909,63005,84899,94213,96793,70339,90410,83084,82835,62811,60773,87928,95254,69923,72344,62859,37286,80875,62724,38671,40589,
152,2605,2978,4088,4948,6553,5461,3927,5170,7035,6882,4270,4405,6070,6412,2975,3815,3546,2165,4474,3442,2886,2963,
153,24782,25033,36879,46412,47630,44526,27365,29135,37308,41858,34455,33656,42508,51091,32430,30008,29007,20397,43272,34213,20909,23778,
154,89367,98903,142894,199116,234109,211735,164173,208332,199996,203468,154593,140968,182316,220493,142833,149185,144885,74718,157236,136789,86742,88199,
155,33563,35720,54743,75394,79716,72339,58862,73966,67395,64698,48696,45824,60861,64064,40812,38238,39591,26260,53363,44283,30593,32670,
156,42925,48186,67894,95614,102598,96067,77122,94034,94300,91888,74430,67661,83558,89909,56831,61661,52402,33236,76089,60885,37241,41830,
157,746,846,1389,1897,2500,1922,1697,1915,1935,1672,1409,1294,3863,6293,4821,4723,4262,835,1894,1496,630,863,
158,5803,7235,10464,15462,16082,14368,11437,12740,14030,13331,10173,9686,12478,13141,8334,8996,7894,5219,11699,8343,5745,6135,
159,32429,37442,46543,69740,74735,77256,61619,80682,81411,78583,61099,54223,71281,87954,50698,52510,50327,30106,62351,49690,32241,36787,
160,18961,26748,41364,56537,66057,57516,45842,58464,56321,55266,42466,38798,48045,53966,35742,44747,41575,23936,49096,36610,22972,20963,
161,562,804,1077,1470,1876,1463,928,1104,1432,182,1264,991,1251,1020,737,843,1148,561,2273,1209,807,577,
162,11682,14225,19376,29014,36772,34367,28835,35789,35109,33417,27044,26059,34066,31514,24740,36362,31825,12058,33085,23109,13744,13352,
