origin,destination,count
117,31,1
117,39,1
117,58,2
117,60,8
118,126,1
118,150,1
118,122,2
118,138,2
118,123,23
118,125,50
118,24,1
118,41,1
118,116,5
118,117,204
119,144,2
119,138,3
119,122,77
119,120,212
119,121,258
119,58,1
119,60,3
120,123,1
120,237,1
120,248,1
120,255,1
120,121,15
120,122,29
120,159,73
120,60,5
120,75,1
120,108,1
120,119,212
121,143,1
121,144,2
121,150,2
121,123,4
121,122,1120
121,60,3
121,68,1
121,75,1
121,116,1
121,119,258
121,120,15
122,125,1
122,140,1
122,143,1
122,147,1
122,151,1
122,184,1
122,204,1
122,212,1
122,248,1
122,250,1
122,153,2
122,158,2
122,182,2
122,160,3
122,173,3
122,124,4
122,126,4
122,150,5
122,185,6
122,144,7
122,187,8
122,138,9
122,123,979
122,22,4
122,23,1
122,29,1
122,39,2
122,52,1
122,58,9
122,60,29
122,66,2
122,69,1
122,75,1
122,78,1
122,79,1
122,84,2
122,115,8
122,116,1132
122,117,35
122,118,2
122,119,77
122,120,29
122,121,1120
123,125,1
123,126,1
123,137,1
123,148,1
123,149,1
123,160,1
123,175,1
123,179,1
123,248,1
123,144,2
123,174,2
123,138,4
123,124,92
123,60,5
123,116,9
123,117,861
123,118,23
123,120,1
123,121,4
123,122,979
124,142,1
124,146,1
124,151,1
124,154,1
124,160,1
124,175,1
124,182,1
124,144,2
124,153,13
124,126,28
124,150,198
124,158,200
124,27,1
124,60,1
124,117,76
124,122,4
124,123,92
125,185,1
125,253,1
125,187,4
125,188,11
125,138,49
125,52,1
125,60,1
125,115,18
125,116,161
125,117,2
125,118,50
125,122,1
125,123,1
126,153,1
126,144,3
126,140,4
126,150,194
126,60,1
126,116,1
126,117,158
126,118,1
126,122,4
126,123,1
126,124,28
127,133,1
127,134,2
127,240,2
127,132,6
128,238,1
128,240,3
129,240,1
130,240,2
130,58,1
130,113,2
130,114,3
131,240,1
131,238,2
131,132,3
132,238,1
132,255,1
132,127,6
132,131,3
133,134,3
133,240,4
133,58,2
133,89,1
133,97,1
133,101,4
133,127,1
134,154,1
134,206,1
134,240,56
134,39,1
134,60,1
134,127,2
134,133,3
137,187,1
137,138,17
137,123,1
138,146,1
138,173,1
138,183,1
138,186,1
138,189,1
138,192,1
138,237,1
138,243,1
138,255,1
138,151,4
138,150,5
138,144,8
138,143,10
138,187,14
138,182,18
138,141,20
138,142,45
138,139,68
138,140,176
138,3,1
138,24,11
138,25,1
138,39,1
138,58,6
138,60,17
138,69,2
138,116,1
138,117,22
138,118,2
138,119,3
138,122,9
138,123,4
138,125,49
138,137,17
139,140,1
139,142,1
139,141,63
139,138,68
140,142,1
140,143,1
140,144,1
140,182,1
140,141,3
140,151,21
140,150,41
140,22,1
140,60,4
140,117,73
140,122,1
140,126,4
140,138,176
140,139,1
141,151,2
141,142,6
141,143,9
141,23,15
141,24,64
141,25,2
141,58,3
141,138,20
141,139,63
141,140,3
142,144,1
142,186,119
142,143,243
142,22,1
142,24,1
142,25,1
142,39,2
142,44,1
142,58,4
142,60,3
142,124,1
142,138,45
142,139,1
142,140,1
142,141,6
143,144,1
143,156,1
143,249,2
143,182,4
143,250,11
143,186,48
143,10,1
143,24,15
143,25,17
143,27,2
143,39,2
143,43,1
143,53,82
143,54,53
143,58,54
143,60,15
143,69,1
143,117,1
143,121,1
143,122,1
143,138,10
143,140,1
143,141,9
143,142,243
144,160,1
144,166,1
144,182,1
144,199,1
144,207,1
144,242,1
144,248,1
144,165,2
144,187,2
144,202,2
144,205,3
144,156,5
144,200,5
144,237,8
144,147,9
144,151,11
144,152,11
144,149,42
144,150,45
144,146,106
144,148,138
144,145,207
144,154,209
144,22,26
144,24,3
